Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000059970,Hspa2,0.005870448458855446,-1.8672627642624198,0.000000006081683120098623,0.021684293283239654,1.8672627642624198,0.000000006081683120098623
ENSMUSG00000052221,Ppp1r36,0,-1.2070121362370259,0.6353833057846586,0.00012320621183658893,1.2070121362370259,0.6353833057846586
ENSMUSG00000073000,Gm10451,0.008752304975020846,1.4131397929464304,0.0007339866859157293,0.0032033615077513124,-1.4131397929464304,0.0007339866859157293
ENSMUSG00000052609,Plekhg3,0.007578215283249757,-2.5993295590157866,0.00000000000000000020275469346695312,0.04644874186239403,2.5993295590157866,0.00000000000000000020275469346695312
ENSMUSG00000021061,Sptb,0.006404125591478668,0.7237252013258599,0.1605155195822089,0.0038193925669342574,-0.7237252013258599,0.1605155195822089
ENSMUSG00000090258,Churc1,0.5316491595192541,0.054170137379437766,0.9387009064089076,0.5120450163928637,-0.054170137379437766,0.9387009064089757
ENSMUSG00000033373,Fntb,0.15892905009519562,0.08734388061935405,0.8437692878818398,0.14957234116961898,-0.08734388061935405,0.8437692878818398
ENSMUSG00000021062,Rab15,0.00010673542652464447,-1.2070121362370259,0.6643773418808029,0.0003696186355097668,1.2070121362370259,0.6643773418808029
ENSMUSG00000059436,Max,0.42928988548212005,0.502014943930444,0.05435548693510148,0.3030872811180088,-0.502014943930444,0.054355486935105383
ENSMUSG00000112857,Gm35041,0.00021347085304928895,0.3779503644841302,1,0.00012320621183658893,-0.3779503644841302,1
ENSMUSG00000112030,Gm35189,0.0003202062795739334,0.7929878637629741,0.782370049789067,0.00012320621183658893,-0.7929878637629741,0.782370049789067
ENSMUSG00000112150,9530018F02Rik,0.015476636846073448,0.412956814312043,0.28274321467234165,0.01158138391263936,-0.412956814312043,0.28274321467234165
ENSMUSG00000021065,Fut8,1.0478216821924349,0.23322462250778087,0.44759853123446786,0.8913969426377211,-0.23322462250778087,0.44759853123440935
ENSMUSG00000112392,Gm35240,0.00010673542652464447,0.7929878637629741,1,0,-0.7929878637629741,1
ENSMUSG00000111903,4930458K08Rik,0.00010673542652464447,0.7929878637629741,1,0,-0.7929878637629741,1
ENSMUSG00000099418,Gm6657,0.0006404125591478668,1.0153802850994218,0.47807908275558175,0.00024641242367317786,-1.0153802850994218,0.47807908275558175
ENSMUSG00000112302,Gm48226,0.03629004501837912,-0.21123672209875188,0.5601399147201648,0.04201331823627683,0.21123672209875188,0.5601399147201648
ENSMUSG00000047454,Gphn,3.458974967384153,0.662738523626859,0.0077828137199438315,2.184938960710068,-0.662738523626859,0.007782813719944038
ENSMUSG00000056987,Garin2,0.0017077668243943116,0.1800109868722206,0.9999533035836753,0.0014784745420390673,-0.1800109868722206,0.9999533035836753
ENSMUSG00000021112,Pals1,0.24709251240455196,0.29180726265275103,0.33351565981907455,0.2018117749883327,-0.29180726265275103,0.3335156598190796
ENSMUSG00000021114,Atp6v1d,0.5495807111753944,0.5520659622063208,0.03125773475264382,0.37479329640690356,-0.5520659622063208,0.03125773475264382
ENSMUSG00000021116,Eif2s1,0.41680184057873665,-1.0249863679201503,0.000015996766281481336,0.8482747684949149,1.0249863679201503,0.00001599676628148267
ENSMUSG00000021118,Plek2,0.0010673542652464448,-0.5549354396573332,0.6417231224951709,0.0016016807538756562,0.5549354396573332,0.6417231224951709
ENSMUSG00000046157,Tmem229b,0.1687487093354629,1.3870987466983151,0.000000033743593021025985,0.06443684879053602,-1.3870987466983151,0.000000033743593021025985
ENSMUSG00000060716,Plekhh1,0.0019212376774436005,-0.4826465788504546,0.6224474656508491,0.002710536660404957,0.4826465788504546,0.6224474656508491
ENSMUSG00000021120,Pigh,0.05699671776416015,0.32890593899108733,0.29441809563537313,0.04533988595586473,-0.32890593899108733,0.29441809563537313
ENSMUSG00000112489,9230116L04Rik,0.002454914810066823,0.918518745846832,0.25667589630414367,0.0012320621183658895,-0.918518745846832,0.25667589630414367
ENSMUSG00000021125,Arg2,0.006831067297577246,1.4230382540126687,0.00477610092396429,0.002464124236731779,-1.4230382540126687,0.00477610092396429
ENSMUSG00000111929,Gm48780,0.0009606188387218002,0.7929878637629724,0.6353833057846586,0.0004928248473463557,-0.7929878637629724,0.6353833057846586
ENSMUSG00000021124,Vti1b,0.22574542709962306,0.5827239331843477,0.025107631666451774,0.15068119707614827,-0.5827239331843477,0.025107631666449592
ENSMUSG00000066441,Rdh11,0.07855727392213833,0.12375181843579552,0.7576432982187494,0.07207563392440454,-0.12375181843579552,0.7576432982187494
ENSMUSG00000021123,Rdh12,0.015156430566499514,-0.2270498894735713,0.6183895441012801,0.01774169450446881,0.2270498894735713,0.6183895441012801
ENSMUSG00000066440,Zfyve26,0.14217158813082645,0.77043690527695,0.0031771511901983076,0.08328739920153412,-0.77043690527695,0.0031771511901983076
ENSMUSG00000059060,Rad51b,0.08218627842397624,-3.7291903682073086,0.00000000000000000000000000000000000000000000000005720894888273363,1.0912374182366682,3.7291903682073086,0.00000000000000000000000000000000000000000000000005720894888273363
ENSMUSG00000112765,9430078K24Rik,0.00010673542652464447,-0.20701213623702586,1,0.00012320621183658893,0.20701213623702586,1
ENSMUSG00000111933,Gm36660,0.0006404125591478668,2.600342785820578,0.08275042220218151,0,-2.600342785820578,0.08275042220218151
ENSMUSG00000021127,Zfp36l1,0.8535632059175818,1.6440183747057957,0.000000000006787303175466085,0.2730249654298811,-1.6440183747057957,0.0000000000067873031754666645
