Feature,Normalized.Dispersion
ENSMUSG00000026111,-1.2012828063205487
ENSMUSG00000026110,2.0510830355285443
ENSMUSG00000026090,-0.7816016864923079
ENSMUSG00000089767,-0.6955602847745669
ENSMUSG00000060771,2.5467310242928978
ENSMUSG00000097268,-0.8572648718826584
ENSMUSG00000037216,-1.5192302999139398
ENSMUSG00000026088,0.2808246818528538
ENSMUSG00000026087,-1.9360849943428335
ENSMUSG00000087374,NaN
ENSMUSG00000058407,-1.63433262985521
ENSMUSG00000026083,-0.33073382030582854
ENSMUSG00000026082,1.8446299600572365
ENSMUSG00000103804,0.4058657795635504
ENSMUSG00000102716,0.5126438634452124
ENSMUSG00000037138,0.5942557654050868
ENSMUSG00000085391,0.5824613364340441
ENSMUSG00000085280,0.715147189611279
ENSMUSG00000087131,2.0959634262641313
ENSMUSG00000026080,0.6049749147494122
ENSMUSG00000103647,-0.9784856074147912
ENSMUSG00000067604,NaN
ENSMUSG00000026078,-2.2125347640930553
ENSMUSG00000026077,8.77839026732174
ENSMUSG00000073702,-1.2224591961630475
ENSMUSG00000003134,2.0010776386379283
ENSMUSG00000003135,-0.7914406463914702
ENSMUSG00000085894,-0.7708453476209636
ENSMUSG00000048234,0.35999860949834317
ENSMUSG00000057173,0.16839808222056757
ENSMUSG00000101634,NaN
ENSMUSG00000026074,0.48700168103658514
ENSMUSG00000026073,1.0189628152939114
ENSMUSG00000097899,-0.06315271896956702
ENSMUSG00000026072,13.256627368289518
ENSMUSG00000070942,4.609808982791138
ENSMUSG00000026069,4.154153052748773
ENSMUSG00000026070,8.77655073601919
ENSMUSG00000026068,0.0633584245268914
ENSMUSG00000026062,0.46332344393067965
ENSMUSG00000103270,-1.443931164155296
ENSMUSG00000041945,-0.1465315659058448
ENSMUSG00000100832,NaN
ENSMUSG00000060679,-0.4228936858238345
ENSMUSG00000041907,0.4901193327519402
ENSMUSG00000070939,1.1617548102230209
ENSMUSG00000041878,0.7606398003939135
ENSMUSG00000010290,-0.3841059215798957
ENSMUSG00000008136,2.1085683454590542
ENSMUSG00000120601,NaN
ENSMUSG00000099576,NaN
ENSMUSG00000066877,0.7220660668896816
ENSMUSG00000026051,0.7774898674524182
ENSMUSG00000100764,1.9231440835500475
ENSMUSG00000100480,0.7195434389660333
ENSMUSG00000057363,0.06539057674840443
ENSMUSG00000120105,-0.5930376945151588
ENSMUSG00000041763,-0.38745050873626424
ENSMUSG00000047343,3.1113551592218065
ENSMUSG00000091844,4.994710688294901
ENSMUSG00000026049,-1.5979797504532183
ENSMUSG00000026047,0.6248597975515576
ENSMUSG00000041684,-0.47234187465901867
ENSMUSG00000026048,0.27074384034947874
ENSMUSG00000056870,NaN
ENSMUSG00000026042,NaN
ENSMUSG00000025995,-0.8089405314929609
ENSMUSG00000121041,6.103529590264992
ENSMUSG00000025993,55.91890272491807
ENSMUSG00000041144,0.500689451848451
ENSMUSG00000101337,2.8678121949040887
ENSMUSG00000025986,1.1006623621928084
ENSMUSG00000100213,0.5385919046618878
ENSMUSG00000101447,NaN
ENSMUSG00000051616,NaN
ENSMUSG00000026109,-0.42429666501957053
ENSMUSG00000101799,NaN
ENSMUSG00000101702,-0.9557561250675021
ENSMUSG00000026107,1.9678858862566935
ENSMUSG00000120049,-0.6305635561792241
ENSMUSG00000099413,4.9059913056823135
ENSMUSG00000101741,NaN
ENSMUSG00000018417,0.241358119881537
ENSMUSG00000062939,1.9156073352112302
ENSMUSG00000109599,-0.6307116289927868
ENSMUSG00000026104,3.956155655789969
ENSMUSG00000026103,0.8388596291563325
ENSMUSG00000002881,0.7496443484931367
ENSMUSG00000100120,4.328824378157363
ENSMUSG00000099878,0.056186875730071494
ENSMUSG00000043015,0.5604012016798231
ENSMUSG00000041439,1.8814938249052724
ENSMUSG00000100302,-0.7706950524975601
ENSMUSG00000026102,-0.4370595852564682
ENSMUSG00000041426,0.29958274917925526
ENSMUSG00000043629,1.592218947996768
ENSMUSG00000060715,2.8510892033777666
ENSMUSG00000026098,1.5841876308649552
ENSMUSG00000100763,0.8838503182267011
ENSMUSG00000026097,-1.377811306720616
ENSMUSG00000026096,0.5965164645121044
ENSMUSG00000121346,-1.2938936837150914
ENSMUSG00000026095,-1.8326107561759093
ENSMUSG00000096141,-0.9729868783998362
ENSMUSG00000026094,1.5298498069762085
ENSMUSG00000042807,20.6623230615887
ENSMUSG00000025983,2.857187130484419
ENSMUSG00000041303,0.6083607395943125
ENSMUSG00000073678,1.5371180444397912
ENSMUSG00000052331,-0.019716633742948367
ENSMUSG00000101674,3.4567681983536223
ENSMUSG00000025982,-1.275751143528791
ENSMUSG00000025981,0.3123729881610786
ENSMUSG00000025980,0.36798680323445343
ENSMUSG00000073676,-0.3323587338219315
ENSMUSG00000025979,-1.0364985765745605
ENSMUSG00000025978,1.883861677745933
ENSMUSG00000097649,-0.6785182373458278
ENSMUSG00000046994,1.7849446572729124
ENSMUSG00000025977,6.18629063156572
ENSMUSG00000038349,4.285154081042503
ENSMUSG00000038331,-1.1098264936431317
ENSMUSG00000087022,NaN
ENSMUSG00000097519,-0.21256644651117707
ENSMUSG00000038323,3.322815318552719
ENSMUSG00000048495,-0.7084266645308563
ENSMUSG00000025971,-1.6091581051802173
ENSMUSG00000038305,7.572300705578101
ENSMUSG00000091283,1.0403307408781
