Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000033589,Reep4,0.0960037402063559,-0.8205871824331648,0.00038639119853932217,0.16964415131027966,0.8205871824331648,0.00038639119853932217
ENSMUSG00000022096,Hr,0.001418774485808215,1.4285845700188844,0.24870546529575804,0.0003904353309787794,-1.4285845700188844,0.24870546529575804
ENSMUSG00000045211,Nudt18,0.03578464536427387,0.3646376532390301,0.2685464649901094,0.027720908499493338,-0.3646376532390301,0.2685464649901094
ENSMUSG00000022095,Fhip2b,0.11665479105534213,0.9395464892962635,0.00015094791103578803,0.0607126939672002,-0.9395464892962635,0.00015094791103578803
ENSMUSG00000022099,Dmtn,0.0011034912667397228,1.1066564751315209,0.4963415337565705,0.0003904353309787794,-1.1066564751315209,0.4963415337565705
ENSMUSG00000022101,Fgf17,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000047911,Npm2,0.004098681847890399,0.9870748593788496,0.16155181053178524,0.001952176654893897,-0.9870748593788496,0.16155181053178524
ENSMUSG00000022100,Xpo7,0.7782766262705731,0.23894946183165777,0.39109733314995543,0.6594452740231584,-0.23894946183165777,0.39109733314995543
ENSMUSG00000120525,Gm56755,0.011034912667397229,2.3819344767200628,0.0000023436471858954543,0.001952176654893897,-2.3819344767200628,0.0000023436471858954543
ENSMUSG00000022102,Dok2,0.24733968535923218,1.371529880629096,0.0000000023726442708741946,0.09546143842431157,-1.371529880629096,0.0000000023726442708741946
ENSMUSG00000022103,Gfra2,0.0036257570192876607,2.276581476573833,0.055962913936262196,0.0005856529964681691,-2.276581476573833,0.055962913936268455
ENSMUSG00000120323,Gm34703,0.0072515140385753215,1.3393172319217967,0.01043345401280341,0.002733047316851456,-1.3393172319217967,0.01043345401280341
ENSMUSG00000115671,Gm49289,0.00031528321906849227,1.276581476573833,0.6669253950076651,0,-1.276581476573833,0.6669253950076651
ENSMUSG00000109446,Gm9195,0.00015764160953424613,0.691618975852677,1,0,-0.691618975852677,1
ENSMUSG00000033487,Fndc3a,0.7528963271355594,0.6397125381096784,0.005414537855482737,0.48316372208623953,-0.6397125381096784,0.005414537855482737
ENSMUSG00000090216,Gm16549,0.00977377979112326,1.276581476573834,0.009318443582531885,0.003904353309787794,-1.276581476573834,0.009318443582531885
ENSMUSG00000115532,Gm41206,0.001261132876273969,0.8615439772949891,0.5586316159779691,0.0005856529964681691,-0.8615439772949891,0.5586316159779691
ENSMUSG00000033470,Cysltr2,0.04492785871726015,1.6035627991874817,0.00000010096852497740986,0.014641324911704227,-1.6035627991874817,0.00000010096852497740986
ENSMUSG00000120611,Gm56757,0.00031528321906849227,0.27658147657383303,1,0.0001952176654893897,-0.27658147657383303,1
