"PX_Cd0_Rep1"	"PX_Cd0_Rep2"	"PX_Cd0_Rep3"	"WT_Cd0_Rep1"	"WT_Cd0_Rep3"
"AT1G01680"	0.802433341334459	0.820560542566687	1.17236262348144	1.17207558348586	0.399047442549728
"AT1G01690"	2.33892799582791	2.11277544142521	2.11603446818841	2.09493218322124	2.23684943038604
"AT1G01700"	0.41654422285398	0.50405659687424	0.685786022944282	0.57100044909187	0.652357199724359
"AT1G01710"	12.6515486472401	12.3891441739268	12.5018957393998	12.718857678928	12.9800716689031
"AT1G01715"	1.90241774792372	2.13685531666345	2.18554237218692	2.15736633213332	1.91859925149702
"AT1G01720"	11.578380706924	10.5973012071683	10.7316705251244	8.61513038419433	7.57050072043099
"AT1G01725"	6.0694528159892	5.60626077144174	5.15768760255386	5.32712803800518	5.26394083899246
"AT1G01730"	10.4936845953741	10.319263938765	11.2419240361112	11.0221071184748	10.186436866807
"AT1G01740"	2.7600779567954	3.08981691858139	3.23753887584085	2.86854863603918	2.69202321297023
"AT1G01750"	17.6660236752746	11.4766130534601	12.0538501061454	14.9310079264443	10.9494476435669
"AT1G01760"	3.73240963890861	3.61716419956683	3.7126482150858	3.21923748775157	3.74510818476417
"AT1G01770"	5.37828351864797	6.25819027637887	6.05903528034135	5.47812768790278	6.09386336752191
"AT1G01780"	15.4532109751049	12.2901893482565	12.8199865665661	12.5189694467397	12.0414748904748
"AT1G01790"	13.2050396353252	15.0665934902869	14.8968089196865	13.9239366799222	16.1794923733308
"AT1G01800"	26.296648590919	25.254635660613	27.0212511470383	27.2804734041451	25.2607204559932
"AT1G01820"	21.9465737425863	21.4114659455027	22.3428491061287	22.3209031420706	20.6311669029784
"AT1G01830"	6.84556890995372	7.64685119678587	6.84044274774912	6.21110929138001	6.79599197933752
"AT1G01840"	2.38991152778377	2.62118969158541	2.10384437154556	2.28205317411255	2.52802082825868
"AT1G01860"	4.11366837033196	3.97644648645234	3.5806148736904	4.10329327053032	4.22340883377103
"AT1G01880"	0.651073997736939	0.515181133639349	0.429856403576393	0.621690579690846	0.506395999786032
"AT1G01900"	3.03703859872009	2.80208677798233	2.86589027317072	3.62169804471548	3.12977979682103
"AT1G01910"	16.8337821555315	16.8219480580411	16.6159202061601	18.8648059977378	17.9114774418815
"AT1G01920"	4.27459790283429	4.50634487146007	4.36488367326683	4.60852505509363	4.4015202741644
"AT1G01930"	5.31269545843499	5.39451718209563	5.06728841120089	5.18588709050055	5.36715164757514
"AT1G01940"	11.2680352368319	11.0219673376431	11.091961702319	9.1261310059835	9.3908029724213
"AT1G01950"	7.55016754759632	7.22955249496816	7.40077840317263	8.03740122281121	7.73256131906079
"AT1G01960"	13.2219081186929	19.8373312532936	19.3184550046079	14.0755668588514	22.3148545302817
"AT1G01970"	6.79727176337798	7.16307329560629	7.15036031814901	7.77032433115223	8.09553666783085
"AT1G01990"	4.72671553832229	4.36858492008115	4.40940173808716	3.90011043141487	4.461288432226
"AT1G02000"	4.11980873909538	3.61166798021611	3.57177457690736	3.99036888953238	3.17594367830047
"AT1G02010"	1.84035136136472	2.20428394959143	2.10595172460646	2.07037102075076	2.39164145766393
"AT1G02020"	0.515236325645819	1.11577987896312	1.1397742226765	0.491417857210905	1.52614145656699
"AT1G02050"	1.01472483256108	1.39910254966442	1.19314615454455	0.994767724533606	1.63710592502256
"AT1G02060"	0.842791681156351	1.31989831420705	1.28730454902744	0.92035973743366	1.5726027252801
"AT1G02080"	14.5985592200748	20.2389622502439	20.5353030353946	14.6306638662938	20.9688249034266
"AT1G02090"	11.8079774654947	10.1033190440994	9.93253682273	11.8700619688853	9.60435476013234
"AT1G02100"	14.3433299677136	15.6935084521664	14.8004901753115	12.854240980036	14.9389243109375
"AT1G02110"	2.65623446518294	3.53316421564894	3.65499205230033	2.47924268671575	4.21280038095692
"AT1G02120"	14.1818050787968	14.724876806294	13.6846851655369	13.5417704456723	14.4718903154371
"AT1G02130"	15.1776019400007	14.2258495701409	14.8373446613692	14.8856683824353	12.9670588223408
