Gen	TotalRecuentos
AT2G26010	757
AT3G11630	756
AT2G07627	755
AT2G07734	755
AT3G53870	754
AT3G60770	753
AT1G77940	749
AT4G14880	746
AT2G05205	746
AT5G08690	744
AT4G18730	741
AT3G11510	739
AT3G09500	739
AT5G62300	737
AT5G53300	736
AT5G04590	735
ATCG01220	733
ATCG00910	732
AT1G11860	732
AT1G05190	729
AT5G65220	728
AT5G44340	727
AT3G01475	725
AT3G02090	724
AT5G20630	724
AT3G15950	724
AT3G49120	719
AT1G78380	716
AT1G79550	715
AT2G15620	714
AT1G13930	713
AT1G15690	712
AT2G09735	711
AT1G08360	710
AT5G53560	710
AT5G61310	708
AT4G24190	707
AT2G07708	707
AT1G12110	706
AT1G44575	705
AT2G24940	703
AT2G33040	700
AT4G34110	699
AT1G70600	695
AT5G23060	693
AT2G05520	692
AT5G56010	692
AT2G41430	690
AT5G44020	690
AT3G61430	686
AT3G55800	685
AT3G49010	685
AT1G11840	684
AT5G02450	683
AT3G46780	683
AT5G13450	682
AT4G00100	681
AT3G18740	675
AT5G01155	675
AT1G11910	670
AT1G49240	668
AT3G02080	667
AT5G04140	667
AT3G01695	666
AT4G22690	665
AT2G25450	665
AT2G43460	665
AT4G39090	661
AT1G56280	660
AT2G43030	660
AT2G31610	659
AT3G01715	659
AT1G77120	657
AT5G56030	656
AT4G01310	654
ATMG01270	652
AT1G51650	651
AT2G18960	650
AT1G75750	650
AT3G53430	649
AT4G01850	646
AT2G13360	645
ATCG01260	643
ATCG00880	643
AT4G12480	641
AT1G48355	639
AT2G35370	639
AT1G02500	638
AT5G36790	638
AT2G27710	637
AT4G37830	636
AT5G27850	635
AT3G09840	633
AT5G59895	630
AT3G15730	630
AT1G72600	630
AT5G65010	629
AT5G44430	629
AT1G23290	628
AT3G23810	628
AT2G30490	627
AT4G14960	627
AT5G64350	627
AT5G47210	626
AT2G17360	624
AT1G05250	623
AT4G33010	619
ATCG00310	619
AT2G07785	618
AT1G12090	617
AT2G09395	616
AT5G58420	612
AT1G09590	610
AT4G37800	610
AT4G05050	606
AT4G05690	606
AT4G09800	605
AT5G59880	601
AT3G23600	600
AT1G59359	600
AT1G54010	599
AT1G78630	599
AT3G52300	598
AT4G13930	598
AT1G55490	597
AT3G07110	596
AT4G05685	595
AT1G57660	595
AT1G17880	594
AT2G07674	592
AT2G37190	592
AT5G28540	590
AT1G75350	590
AT1G21313	589
AT5G61410	588
AT2G19760	587
AT1G22780	587
AT1G09780	587
AT2G36160	587
AT4G10480	586
AT2G08440	585
ATMG09950	585
AT1G78040	585
AT2G43970	584
AT3G12120	583
AT5G40950	583
AT4G13430	583
AT5G61170	582
AT3G44010	582
AT5G36700	581
AT1G67195	580
AT2G41840	580
AT5G54600	579
AT4G18480	579
AT2G42220	578
AT2G01021	577
AT5G09855	577
AT3G04695	575
AT2G37220	575
AT5G03240	572
ATCG00320	571
AT2G46820	570
AT1G64720	568
AT5G43940	566
AT3G16460	566
AT3G63410	565
AT3G55750	563
AT1G34030	563
AT5G05170	561
AT1G20020	560
AT1G73885	560
AT3G09305	554
AT2G16060	553
AT3G27830	553
AT2G05315	552
AT5G52650	551
AT2G36620	550
AT1G68010	549
AT1G73330	547
AT4G07735	547
AT2G43590	546
AT1G52400	545
AT3G01500	544
AT1G07770	544
AT5G47930	544
ATMG00520	544
AT3G62530	544
AT2G21170	543
AT3G16530	542
AT3G09985	542
AT3G18080	542
AT2G08760	542
AT4G34710	541
AT3G63490	541
AT4G22710	540
AT2G39460	540
AT2G07762	538
AT3G59540	538
AT2G07695	535
AT2G07599	532
AT2G07623	531
AT2G07617	531
AT3G56240	529
AT4G40040	529
AT4G23100	529
AT1G02920	529
ATMG00670	528
AT4G30960	527
AT5G14780	526
AT5G13930	526
AT5G15230	526
AT5G07440	525
AT3G53460	524
AT5G23740	522
AT1G22840	520
AT1G48300	519
AT2G37660	519
AT4G32260	519
AT4G06805	518
AT3G22230	517
AT5G38980	517
AT3G01120	516
AT4G35830	516
AT5G57290	516
AT5G38480	516
AT3G10920	515
AT1G56340	514
AT1G57720	512
AT5G49720	512
AT5G19550	511
AT2G27720	511
AT4G14320	511
AT3G09250	511
AT3G22890	510
ATMG00020	508
AT2G07815	507
AT3G59970	507
AT1G50480	507
AT5G35530	506
AT2G10940	505
AT3G22121	505
AT2G21660	505
AT3G56340	504
AT2G35747	504
AT5G42020	501
AT1G67740	501
AT2G01140	501
ATMG00513	500
AT3G54050	500
AT5G20020	499
AT2G27860	499
AT5G44580	499
AT4G06810	498
AT1G73230	498
AT2G07715	496
AT1G04503	493
AT4G34200	493
ATMG00350	492
AT5G30510	491
AT5G54160	491
AT4G35100	491
AT1G01100	491
AT5G19760	490
AT1G11580	490
AT5G21090	489
AT5G59613	488
AT4G07855	487
AT4G24770	487
AT3G46430	486
AT1G25098	486
AT4G11010	485
AT3G01420	485
AT3G50825	483
AT1G21750	482
AT3G19820	482
AT3G15353	482
AT2G47400	481
AT1G24880	479
AT2G22170	479
AT5G09650	478
AT2G07696	478
AT4G09225	477
AT3G15356	477
AT3G61110	476
AT4G13495	476
AT4G13770	476
AT5G59850	475
AT3G23390	475
AT1G08477	474
ATMG00190	473
AT2G44060	472
AT1G09027	472
AT3G05560	470
AT1G04820	469
AT1G05773	468
AT1G08803	468
AT1G72020	466
AT4G26230	463
AT3G04920	463
AT5G09660	463
AT1G24822	462
AT2G07756	462
AT2G11215	462
AT1G56045	462
AT4G06665	461
AT2G07684	459
AT2G24090	458
AT5G11740	457
AT3G12500	457
AT1G48350	456
AT2G07768	455
AT4G02230	455
AT5G08680	454
AT1G25055	454
AT4G16983	453
AT1G09340	452
AT3G56800	452
AT3G01390	451
AT4G30530	451
AT3G15190	450
AT2G43150	449
AT4G29390	448
AT1G66270	448
AT1G74050	447
AT4G29410	447
AT3G12502	446
AT1G35680	443
AT3G16140	443
AT5G01255	442
AT4G31985	442
AT2G25210	441
AT4G31500	441
AT5G54940	440
AT3G13920	440
AT2G05215	440
AT1G09823	439
AT1G23130	439
AT3G52960	437
AT5G26280	435
AT1G53240	435
AT1G64510	434
AT1G20693	434
ATMG01220	433
AT2G20890	433
ATMG00960	432
AT1G66580	431
AT3G01525	431
AT1G10960	431
AT2G09565	431
AT3G19030	429
AT5G25610	429
AT4G03585	429
AT2G42680	429
AT4G39080	428
AT3G03025	426
AT1G11650	426
AT1G25275	426
AT4G02620	426
AT5G14040	423
AT5G19940	423
AT2G33450	422
AT3G03780	422
AT1G14453	422
AT1G27020	421
AT3G46030	421
AT5G27770	420
AT4G04225	420
AT2G31570	419
AT3G45980	418
AT3G01280	418
AT4G15545	418
ATMG01020	418
AT2G38170	417
AT2G44120	417
AT3G22231	417
AT4G12555	417
AT3G22240	417
AT1G70780	416
AT4G30010	416
AT5G03165	415
AT5G14330	415
AT2G20820	415
AT1G51980	414
AT5G50850	414
AT3G53890	414
AT1G24020	414
AT1G15930	414
AT5G19780	412
AT2G07830	412
AT1G63940	412
AT2G07765	412
AT2G40765	412
AT1G30580	412
AT4G30170	411
AT1G65290	411
AT2G34250	411
AT5G14200	410
AT1G62750	408
AT2G29630	408
AT5G20010	408
AT4G08770	408
AT3G22120	407
AT1G23490	406
ATCG00060	406
AT2G09225	406
AT3G44110	405
AT1G06760	405
AT1G48600	404
AT5G45775	404
AT3G24160	403
AT3G13410	403
AT3G09440	403
AT1G09640	403
AT4G29060	403
AT2G07792	403
AT5G19770	402
AT1G56330	401
AT5G03850	401
AT2G07774	400
AT4G00860	400
AT4G20150	400
ATMG00830	400
AT1G06237	399
AT5G21020	399
AT2G47170	399
AT1G75950	399
AT5G59910	399
AT4G07975	398
AT1G47420	397
AT5G13420	397
ATMG00360	397
AT4G33865	397
AT5G03965	396
AT2G33150	396
AT2G30520	394
ATMG01210	394
ATMG00200	394
AT5G48300	394
AT3G45030	393
AT3G24503	393
AT5G10450	393
AT2G01520	393
AT4G39730	393
AT4G27500	393
AT1G21310	392
AT4G34700	392
AT3G04790	391
AT1G74270	391
AT4G13615	391
AT4G02510	390
AT2G36170	390
AT2G05220	390
AT3G42050	390
AT1G74456	389
AT3G09905	389
ATCG01030	389
AT1G45201	388
AT5G54810	388
AT4G37870	386
AT4G24280	386
AT2G08765	386
AT2G04030	385
AT2G21160	385
AT5G37600	384
AT1G03870	384
AT5G47700	384
AT2G38380	383
AT5G63310	382
AT1G70830	382
AT1G07320	382
AT3G13520	382
AT1G09467	381
AT1G41880	381
AT4G23850	380
AT1G69530	380
AT2G11225	380
AT3G52880	380
AT4G25050	380
AT3G44890	379
AT2G33800	379
AT5G63400	378
AT4G00810	378
AT2G08475	377
AT1G05240	376
AT1G01620	376
AT4G25820	375
AT1G64230	375
AT1G78570	375
AT3G14600	374
AT1G20260	373
AT1G43800	372
AT5G23900	372
ATMG01350	372
AT4G02890	372
AT5G06165	371
AT1G47128	371
AT5G07985	371
AT2G47470	371
ATMG00380	371
AT3G02230	371
AT1G04480	371
AT1G65980	370
AT5G27700	369
AT1G19910	369
AT2G43530	368
AT4G32470	368
AT5G65670	367
AT2G39770	367
AT3G15360	367
AT1G29070	367
AT1G48920	366
AT3G11130	366
AT4G20260	366
AT1G24800	366
AT3G16080	365
AT2G42590	365
AT2G16586	365
AT2G05710	365
AT4G26970	365
AT3G08530	363
AT5G22580	362
AT3G07230	362
AT2G44350	362
AT1G07963	361
AT1G66240	361
AT4G38740	361
AT4G35090	360
AT2G28900	360
AT2G24200	359
AT4G30950	359
AT1G27950	358
AT5G42050	357
AT3G27690	357
AT5G66040	357
AT1G50010	356
AT3G11120	356
AT2G43750	356
AT1G22410	356
AT5G17870	355
AT5G17820	355
AT3G58730	354
AT4G12880	354
AT5G03185	354
AT2G05440	354
AT4G01050	354
AT2G30950	353
AT5G46020	353
AT3G58680	352
AT4G36130	351
AT4G31340	351
AT4G40030	350
AT1G56220	350
AT2G39390	349
AT1G07693	349
AT4G26850	349
AT3G54400	348
AT1G53310	348
AT5G08530	348
AT5G15650	347
AT5G10980	347
AT5G22650	347
AT3G62410	347
AT5G02790	346
AT5G02095	346
AT3G01035	346
AT1G76200	345
AT4G04335	345
AT4G32210	344
AT4G39330	344
AT5G14320	344
AT3G03250	344
AT5G47190	344
AT3G14230	344
AT1G48830	342
AT5G08280	342
AT5G48810	342
AT5G55190	341
AT3G29360	341
AT3G13120	341
AT1G56580	341
AT4G23680	341
AT1G68590	341
AT3G30390	340
AT5G37780	340
AT5G07285	340
AT4G15390	338
AT5G03630	338
AT4G02270	338
AT1G65820	337
AT4G26010	337
AT1G76160	337
AT4G07255	337
AT1G30510	336
AT4G08805	336
AT2G38530	335
AT5G64940	335
AT3G55280	335
AT5G52840	335
AT2G02100	335
AT2G21580	334
AT2G31390	334
AT5G10860	334
ATMG00040	333
AT2G37270	333
AT5G12140	333
AT2G09945	332
AT3G16470	332
AT3G12390	332
AT4G34350	331
AT5G47110	330
AT2G20420	330
AT5G67400	330
AT1G67785	329
AT5G04430	329
AT5G64572	328
AT1G68560	328
AT5G19890	328
AT3G02525	327
AT2G43910	326
AT2G36460	326
AT3G52150	326
AT1G02140	326
AT3G44990	325
AT5G28840	324
AT2G09695	324
AT4G15560	324
AT4G11600	324
AT2G40510	324
AT3G54210	324
AT2G35744	323
AT2G37130	323
AT1G06253	323
AT1G16880	323
AT5G49910	322
AT3G47370	322
AT4G25740	322
AT3G02560	321
AT5G61790	321
AT3G08645	321
AT3G19710	321
AT4G22890	320
AT4G17090	319
AT4G25570	318
AT3G47070	318
AT2G05380	318
AT2G24790	318
AT5G22440	317
AT1G10670	317
AT4G29480	317
AT3G22200	317
AT5G37510	316
AT2G26250	316
AT2G07777	316
ATMG00110	315
AT1G20440	315
AT3G22210	315
AT2G09895	315
AT5G17330	315
AT2G40060	315
AT5G67590	314
AT1G03220	314
AT5G41520	314
AT5G64740	314
AT5G60360	314
AT5G47570	314
AT3G27160	313
AT1G68530	313
AT2G37040	313
AT2G09190	313
AT4G34450	313
AT4G38510	312
AT4G35450	312
AT1G20010	312
AT5G19140	312
AT1G54580	312
AT1G76030	312
AT1G51200	311
AT2G09805	311
AT2G44100	311
AT2G41110	311
AT2G06855	311
AT5G47030	310
AT1G14450	310
AT2G07718	310
AT3G17020	309
AT4G16450	309
AT5G54760	308
AT5G42300	308
AT2G07739	308
AT5G26742	308
AT2G36580	308
AT3G03100	308
AT1G72930	308
AT1G74453	308
AT4G12470	308
AT5G05735	307
AT4G31990	307
AT2G26080	307
AT1G09893	306
AT1G27450	306
AT2G27030	306
AT3G09875	306
AT2G07771	305
AT5G19221	305
AT1G52220	305
AT1G09210	305
AT3G12490	305
AT4G16980	305
ATMG00590	304
AT1G70850	304
AT3G02845	304
AT1G59124	304
AT1G58848	303
AT2G09510	302
AT5G17770	302
AT4G34190	302
AT1G24881	302
AT2G38140	302
AT5G12250	302
AT4G32410	301
AT4G19410	301
AT1G70770	300
AT1G29470	300
AT2G44490	300
AT1G07140	300
AT2G31490	299
AT1G74060	299
AT1G01320	298
AT2G32240	298
AT3G47347	298
AT5G64100	298
AT5G01545	297
AT3G56150	297
AT3G51730	297
AT2G22470	297
AT1G02560	297
AT1G51060	296
AT5G41700	296
AT2G23350	296
AT1G04030	296
AT1G73260	296
AT2G07719	295
AT2G30620	295
AT1G09143	295
AT1G15500	295
AT1G09877	295
AT2G43710	295
AT1G08200	295
AT4G38920	295
AT5G03290	295
AT3G50480	294
AT3G16370	294
AT5G65360	294
AT2G44790	294
AT4G08055	294
AT5G04750	294
AT4G09010	294
AT5G60790	293
AT1G62180	293
AT2G44670	293
AT5G62690	293
AT4G14030	293
AT3G59920	293
AT1G08930	292
AT3G01470	292
AT4G37300	292
AT3G02915	291
AT1G17290	291
AT2G43090	291
AT3G09795	291
AT1G72150	291
AT2G19750	291
AT5G58330	291
AT1G09513	291
AT2G45820	291
AT3G02730	290
AT2G04390	290
AT3G62840	290
AT2G02050	290
ATMG00030	289
AT1G09333	289
AT5G07580	289
AT5G66760	289
AT5G65020	288
AT3G14990	288
AT1G58807	287
AT2G20450	287
AT2G03895	287
AT3G52990	286
AT4G27450	286
AT5G08300	286
AT5G60640	286
AT1G27400	286
AT3G26450	286
AT5G58710	285
AT5G09510	284
AT3G18820	284
AT1G70890	284
AT1G09200	284
AT3G20390	284
AT5G47200	284
AT4G03520	283
AT3G48730	282
AT3G16410	282
AT2G04410	282
AT3G51800	281
AT1G78830	281
AT5G52470	281
AT2G40490	281
AT5G20500	281
AT2G08470	281
AT2G47510	281
AT1G22300	281
AT4G23015	281
AT5G26360	281
AT3G09860	281
AT2G04520	280
AT5G23010	280
AT1G63000	280
AT5G13650	279
AT5G14910	279
AT5G65430	279
AT2G07827	278
AT5G15320	278
AT3G52730	278
AT5G13440	278
AT3G45780	277
ATMG00460	277
AT4G17340	277
AT3G13460	277
AT3G27240	277
AT1G24180	276
AT1G26850	276
AT2G07665	276
AT2G07794	276
AT1G27310	276
AT4G27000	276
AT3G52380	276
AT5G11420	276
AT4G11420	276
AT1G10590	275
AT3G04155	275
AT5G26038	275
AT3G47650	275
AT2G23120	274
AT2G39010	274
AT3G08740	274
AT3G02360	274
AT5G23020	274
AT2G45070	274
AT4G02580	274
AT2G42600	274
AT3G62830	274
AT5G36230	274
AT5G26260	274
AT3G23050	274
AT4G35750	274
AT1G74670	273
ATMG01340	273
AT5G13430	273
AT2G43550	273
AT3G10860	273
AT2G07825	273
AT2G18270	273
AT1G32990	273
AT5G60670	273
AT2G02130	272
AT1G16890	272
AT5G15090	272
AT1G77710	271
AT1G53750	271
AT5G14545	271
AT1G67700	271
AT1G08830	271
AT5G35360	270
AT1G79010	270
AT2G44160	270
AT5G01600	270
AT4G14040	270
AT4G37520	270
AT4G21105	269
AT1G23190	269
AT2G45790	269
AT5G05010	268
AT5G61780	268
AT2G20610	268
AT1G66280	268
AT3G54040	267
AT2G19480	267
AT4G00360	267
AT5G02240	266
AT5G20890	266
AT1G75500	266
AT3G04255	266
AT1G22530	266
AT1G79529	265
AT5G40370	265
AT3G27770	265
AT3G09820	265
AT1G29660	265
AT1G71500	264
AT1G13110	264
AT5G40450	264
AT2G46600	263
AT2G07678	263
AT1G55335	263
AT3G16450	263
AT1G04883	263
AT4G23710	263
AT4G24220	262
AT3G12260	262
AT4G08425	262
AT3G20050	262
AT1G20450	262
AT1G65960	262
AT4G38800	261
AT5G52240	261
AT1G30630	261
AT4G07190	260
AT1G07983	260
AT1G70760	260
AT1G25440	260
AT3G28710	260
AT4G24690	260
AT3G11400	259
AT1G57860	259
AT2G20360	259
AT5G11170	259
AT5G34850	259
AT3G56950	258
AT1G24510	258
AT4G33070	258
AT3G24170	257
AT1G06045	257
AT4G34720	257
AT1G15120	256
AT3G16780	256
AT3G08590	256
AT5G02480	256
AT5G43830	256
AT5G67510	256
AT5G24490	256
AT1G21770	256
AT1G29670	255
AT2G32060	255
AT4G39800	255
AT2G30970	255
AT5G07405	255
AT1G74970	254
AT5G54500	254
AT5G64140	254
AT5G08760	254
AT1G22450	254
AT4G04475	254
AT1G66410	253
AT1G19000	253
ATMG00790	253
AT5G64130	253
AT5G62700	253
AT3G16430	253
AT4G23650	252
AT4G31300	252
AT5G17230	252
AT5G35680	252
AT4G02555	252
AT1G69510	252
AT5G19220	252
AT3G06050	252
AT4G35000	252
AT5G61020	251
AT1G60710	251
AT2G07755	251
AT2G07724	251
AT3G08805	250
AT5G58070	250
AT1G17100	250
AT3G25220	250
AT3G55610	249
AT1G03680	249
AT4G33680	249
AT3G01316	249
AT2G18160	249
AT5G16470	248
AT2G15970	248
AT5G67500	248
AT1G08657	248
AT2G09990	247
AT3G01290	247
AT5G08260	247
AT5G27380	247
AT5G50460	247
AT1G28400	247
AT4G15470	246
ATMG00340	246
AT4G11260	246
AT2G41410	246
AT3G29320	246
