cluster,gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj
13,Plbd1,2.21001749651938,0.605,0.125,4.76975314878288E-47,9.53950629756575E-44
13,Mefv,0.07769551532697,0.151,0,1.63478812595943E-46,3.26957625191885E-43
13,C3,0.604929730920654,0.283,0,1.15168017129049E-45,2.30336034258097E-42
13,Nfam12,0.798971361166403,0.572,0.14,5.92829153351189E-45,1.18565830670238E-41
13,Cd221,0.61137679752374,0.322,0,1.53182732408272E-42,3.06365464816544E-39
13,Cd68,1.95736985523411,0.645,0.208,2.07455673650756E-42,4.14911347301511E-39
13,Grn1,1.8876427261429,0.664,0.22,3.63229063885726E-42,7.26458127771452E-39
13,Mgl21,0.648781413473352,0.289,0.027,4.33304075111446E-42,8.66608150222893E-39
13,Adam231,0.743799340950489,0.158,0.001,4.46580021222085E-42,8.93160042444171E-39
13,Scd1,0.564559236013638,0.408,0.009,2.29844488492803E-41,4.59688976985606E-38
13,Timd4,0.133843731531085,0.138,0,4.95927514694612E-39,9.91855029389224E-36
13,Fscn1,0.928092014484641,0.342,0.042,9.06738703028628E-38,1.81347740605726E-34
13,Vcam1,3.29689304484603,0.447,0.042,1.91995232059474E-36,3.83990464118947E-33
13,Apoe,5.82306520092655,0.717,0.348,4.11370882911049E-36,8.22741765822099E-33
13,Cd79a,2.51086074642997,0.467,0.126,2.94670845957601E-35,5.89341691915201E-32
13,F630028O10Rik,0.710890845008911,0.191,0,4.29892842152675E-34,8.59785684305349E-31
13,Cd63,2.59952192980479,0.474,0.064,6.01518911441918E-32,1.20303782288384E-28
13,Igkc,7.66296356761706,0.664,0.313,2.61237784988057E-31,5.22475569976114E-28
13,Ccser11,0.834980624141856,0.461,0.093,7.65278729540696E-31,1.53055745908139E-27
13,Ms4a1,1.92755575155951,0.336,0.03,1.96656453610634E-30,3.93312907221267E-27
13,Rnd3,0.411979775463815,0.289,0.009,3.31139183720651E-29,6.62278367441302E-26
13,Ly6a21,0.09147731578242,0.184,0,5.10401746972795E-29,1.02080349394559E-25
13,Lyz2,4.6421611586999,0.52,0.069,1.01489917422079E-28,2.02979834844157E-25
13,Mreg,0.833126389680369,0.336,0.005,2.32778420546931E-28,4.65556841093862E-25
13,Blnk,1.74144011704327,0.618,0.254,6.70982020005012E-28,1.34196404001002E-24
13,Mertk,1.15245500450312,0.257,0.012,2.27491655657459E-26,4.54983311314918E-23
13,Cd209d,0.395406999051363,0.072,0,5.98867808826656E-26,1.19773561765331E-22
13,Dysf,0.50775619490993,0.276,0.041,6.50489779384526E-26,1.30097955876905E-22
13,Ccl12,0.656257558348201,0.132,0,1.20317543220344E-22,2.40635086440688E-19
13,Sema5a,0.275489806296259,0.099,0.003,5.99919547386196E-21,1.19983909477239E-17
13,Hpgd,2.30109890445315,0.322,0.055,9.60763545355512E-21,1.92152709071102E-17
13,Gm566631,1.04986064372707,0.349,0.017,3.14908322932573E-20,6.29816645865147E-17
13,Hebp1,1.60791121222016,0.401,0.112,7.87440184697954E-20,1.57488036939591E-16
13,Ifi205,0.778108945704877,0.276,0.006,4.54016599059033E-19,9.08033198118066E-16
13,Iglv1,1.09957950935951,0.086,0.03,9.80202468702338E-19,1.96040493740468E-15
13,Rab3il1,0.393000666984172,0.237,0,2.09878162048598E-18,4.19756324097196E-15
13,Nr1h3,1.19230492382707,0.414,0.174,1.41689803119659E-17,2.83379606239318E-14
13,Rab7b,0.628424635415665,0.263,0.015,2.07213159025441E-17,4.14426318050881E-14
13,Oas1g,0.050751413690296,0.132,0,2.63406701906398E-17,5.26813403812795E-14
13,Lpl,1.30427418572487,0.289,0.011,1.33630839472418E-16,2.67261678944836E-13
13,Fcrla,0.925543452453782,0.388,0.096,3.27221374562798E-16,6.54442749125595E-13
13,Cldn1,0.177053481919077,0.092,0,7.78236247012353E-12,1.5564724940247E-08
