Feature,Normalized.Dispersion
ENSMUSG00000073725,0.7427842875029848
ENSMUSG00000033569,1.0832039181305437
ENSMUSG00000048874,0.26401090176623393
ENSMUSG00000026064,-0.22193993582663563
ENSMUSG00000117310,0.03154141164874503
ENSMUSG00000086727,1.9149582138550716
ENSMUSG00000050217,NaN
ENSMUSG00000026058,1.6707636218267379
ENSMUSG00000102917,8.895462400942868
ENSMUSG00000026134,0.5294324380622115
ENSMUSG00000121274,-0.9078972774713012
ENSMUSG00000004768,-0.32742053779684194
ENSMUSG00000042215,-1.606996958658902
ENSMUSG00000042197,0.2708975810651573
ENSMUSG00000042182,2.3905527496354093
ENSMUSG00000026131,4.514078686241455
ENSMUSG00000096992,-0.12196663382712541
ENSMUSG00000102336,-0.5377554267996284
ENSMUSG00000042111,-2.0630960347848477
ENSMUSG00000101711,0.11224882211810536
ENSMUSG00000026127,-1.5817952766666052
ENSMUSG00000026126,-1.0617371061391085
ENSMUSG00000100280,-0.8950036730990745
ENSMUSG00000101223,-0.5064111123419517
ENSMUSG00000026125,5.687070553062728
ENSMUSG00000026124,NaN
ENSMUSG00000037509,0.5052771188962387
ENSMUSG00000104002,0.07334601799133683
ENSMUSG00000037503,-0.3735252797027634
ENSMUSG00000026123,0.23536515381036963
ENSMUSG00000104417,2.4136505089744955
ENSMUSG00000104201,NaN
ENSMUSG00000045216,1.2627740394675349
ENSMUSG00000104523,-0.8903546454336777
ENSMUSG00000102202,1.8413870451199963
ENSMUSG00000037470,0.050698407118443124
ENSMUSG00000047180,-0.7245082769865302
ENSMUSG00000037447,-0.08551559546762066
ENSMUSG00000102762,-0.7150585119121126
ENSMUSG00000010453,0.9930794295932677
ENSMUSG00000037432,1.5995298799728002
ENSMUSG00000001143,-0.314478622426986
ENSMUSG00000037408,1.6956485099318412
ENSMUSG00000001138,1.5816944052376094
ENSMUSG00000102845,0.48590620115429134
ENSMUSG00000067653,-0.17662749095066893
ENSMUSG00000079610,-0.23742203335264597
ENSMUSG00000026121,-1.6676015744296502
ENSMUSG00000087589,-1.3338810907053904
