PX_Cd0_Rep1_nat	PX_Cd0_Rep2_nat	PX_Cd0_Rep3_nat	WT_Cd0_Rep1_nat	WT_Cd0_Rep3_nat
AT1G03440	548	519	551	417	501
AT1G03445	9	6	22	14	7
AT1G03457	420	375	426	374	352
AT1G03470	160	197	158	170	152
AT1G03475	4928	4376	4814	5889	5082
AT1G03490	4	0	0	4	0
AT1G03495	247	363	389	137	225
AT1G03502	50	46	47	58	46
AT1G03506	101	101	100	120	104
AT1G03510	68	71	65	58	74
AT1G03515	0	0	1	0	0
AT1G03520	239	325	365	259	354
AT1G03530	450	497	508	383	486
AT1G03540	92	123	122	93	127
AT1G03545	407	410	461	328	418
AT1G03550	428	438	503	359	452
AT1G03560	276	285	312	228	286
AT1G03570	0	0	0	0	0
AT1G03590	884	797	975	855	836
AT1G03600	3591	3291	3716	5299	4418
AT1G03610	848	767	962	792	914
AT1G03620	113	138	124	125	128
AT1G03630	2950	2724	3139	3840	3562
AT1G03640	0	0	0	0	0
AT1G03650	124	110	121	84	91
AT1G03660	82	69	73	82	52
AT1G03670	1	0	1	0	0
AT1G03680	2944	2826	3251	3632	3461
AT1G03687	342	420	431	358	424
AT1G03700	14	8	17	4	7
AT1G03710	2	20	4	16	6
AT1G03720	0	0	0	0	0
AT1G03730	557	477	515	500	480
AT1G03740	3715	3678	3789	2901	3090
AT1G03743	192	193	194	198	160
AT1G03746	180	185	184	185	144
AT1G03750	475	501	625	452	490
AT1G03760	488	488	534	451	433
AT1G03770	450	533	498	379	428
AT1G03780	800	802	890	849	803
AT1G03790	35	28	32	11	22
AT1G03800	46	39	59	32	50
AT1G03810	1	1	0	1	0
AT1G03820	697	474	517	730	423
AT1G03830	557	619	674	500	605
AT1G03840	112	131	147	130	105
AT1G03850	746	620	599	589	447
AT1G03860	2989	2976	3405	3133	2855
AT1G03870	6499	4985	5773	7366	5505
AT1G03880	21	317	116	0	1
AT1G03890	4	21	17	0	0
AT1G03900	3167	3210	3384	3076	3080
AT1G03905	243	250	273	226	247
AT1G03910	2075	2162	2209	1866	1984
AT1G03920	165	193	230	172	195
AT1G03930	1747	1662	1808	1702	1826
AT1G03935	110	95	104	104	119
AT1G03940	443	541	559	244	377
AT1G03950	618	569	572	538	473
AT1G03960	265	368	371	226	350
AT1G03970	802	631	666	677	606
AT1G03980	83	63	71	67	68
AT1G03982	0	0	0	0	0
AT1G03987	4	9	9	9	21
AT1G03990	20	36	50	25	57
AT1G03993	558	570	584	476	569
AT1G03997	26	33	38	24	25
AT1G04000	163	257	262	176	234
AT1G04003	1	0	0	0	0
AT1G04007	373	435	419	339	420
AT1G04010	485	532	572	543	629
AT1G04013	845	745	804	819	718
AT1G04017	28	27	37	26	37
AT1G04020	628	688	775	644	704
AT1G04023	145	123	134	127	148
AT1G04027	22	17	39	29	28
AT1G04030	7978	6815	7576	8046	6647
AT1G04033	1	0	2	1	4
AT1G04037	27	15	34	20	26
AT1G04040	14538	12755	13941	15061	13034
AT1G04043	2	1	4	0	4
AT1G04047	138	123	133	138	143
AT1G04050	218	234	247	197	225
AT1G04053	1153	754	847	930	694
AT1G04057	61	46	52	56	50
AT1G04063	0	0	0	0	0
AT1G04067	30	41	31	32	33
AT1G04070	328	302	331	306	268
AT1G04073	109	152	109	105	121
AT1G04077	294	269	313	320	332
AT1G04080	3479	3942	4199	3216	3723
AT1G04083	407	447	455	428	443
AT1G04087	0	0	0	0	0
AT1G04090	55	51	69	59	68
AT1G04093	3	3	3	8	6
AT1G04097	1085	942	1007	877	961
AT1G04100	245	274	266	235	224
AT1G04103	53	56	58	71	39
AT1G04105	126	150	130	120	116
AT1G04110	315	245	290	340	185
AT1G04117	223	253	243	228	187
AT1G04120	7424	8111	8763	6612	7331
AT1G04123	21	25	37	23	28
AT1G04127	6	6	7	5	6
AT1G04130	608	563	589	534	513
AT1G04133	0	0	0	1	2
AT1G04137	1	0	0	1	0
AT1G04140	5009	5392	6156	4588	5539
AT1G04143	0	0	0	0	0
AT1G04147	221	182	221	194	180
AT1G04150	3	7	11	4	10
AT1G04153	18	8	13	14	10
AT1G04157	118	127	129	104	130
AT1G04160	722	1106	1275	791	1175
AT1G04163	185	151	170	114	109
AT1G04167	1	0	0	0	1
AT1G04170	4806	4681	5101	4478	4343
AT1G04173	48	70	74	53	77
AT1G04177	0	1	2	1	3
AT1G04180	157	122	167	135	128
AT1G04183	771	756	876	807	802
AT1G04187	65	73	65	71	63
AT1G04190	1433	1376	1640	1465	1325
AT1G04193	45	40	41	38	29
AT1G04197	101	87	86	102	90
AT1G04200	1702	1868	1917	1654	1681
AT1G04203	26	23	22	11	19
AT1G04207	0	0	0	0	0
AT1G04210	2944	3327	3811	2878	3318
AT1G04213	121	138	137	131	120
AT1G04217	82	73	79	81	84
AT1G04220	294	430	456	212	346
AT1G04223	51	58	80	54	103
AT1G04227	65	74	87	50	100
AT1G04230	929	952	1039	1185	1171
AT1G04233	406	352	377	334	335
AT1G04237	5451	4618	5123	5694	4769
AT1G04240	1068	1068	1087	1643	1369
AT1G04243	0	0	0	0	0
AT1G04247	237	344	336	155	281
AT1G04250	2629	2278	2622	3262	2575
AT1G04253	0	0	1	0	0
AT1G04257	0	3	0	0	1
AT1G04260	465	473	459	512	390
AT1G04263	7	4	8	7	9
AT1G04267	113	132	135	116	129
AT1G04270	13883	13200	14209	14114	12229
AT1G04273	115	130	132	94	113
AT1G04277	109	104	128	64	84
AT1G04280	2115	2107	2289	2018	1845
AT1G04283	1	1	1	0	0
AT1G04287	0	0	0	0	0
AT1G04290	824	611	775	724	678
AT1G04293	0	0	0	0	0
AT1G04295	803	597	765	708	663
AT1G04297	155	206	214	154	195
AT1G04300	3591	3827	4056	3200	3700
AT1G04303	286	283	271	239	255
AT1G04307	0	1	1	0	0
AT1G04310	520	559	578	576	680
AT1G04313	13	24	22	16	19
AT1G04320	0	0	0	0	0
AT1G04323	13	24	19	11	12
AT1G04327	0	0	0	0	0
AT1G04330	39	24	34	46	18
AT1G04333	0	0	0	0	0
AT1G04337	0	0	0	0	0
AT1G04340	777	765	909	841	722
AT1G04343	277	345	388	318	380
AT1G04347	794	577	635	638	429
AT1G04350	1343	1408	1597	1238	1293
AT1G04353	304	375	338	314	413
AT1G04357	73	57	78	64	66
AT1G04360	145	121	145	113	127
AT1G04363	64	54	68	50	62
AT1G04367	11	8	14	15	22
AT1G04370	11	7	14	6	2
AT1G04373	0	0	0	0	0
AT1G04377	0	0	0	0	0
AT1G04380	7	5	16	10	20
AT1G04383	0	0	0	0	0
AT1G04387	0	0	1	0	0
AT1G04390	353	467	516	444	429
