PX_Cd0_Rep1_nat	PX_Cd0_Rep2_nat	PX_Cd0_Rep3_nat	WT_Cd0_Rep1_nat	WT_Cd0_Rep3_nat
AT3G07545	0	0	0	0	0
AT3G07550	328	361	401	382	379
AT3G07555	623	667	789	700	694
AT3G07560	1868	2085	2216	1687	2027
AT3G07565	518	602	693	573	582
AT3G07568	910	887	1011	1047	844
AT3G07570	775	796	858	692	758
AT3G07580	253	221	228	201	201
AT3G07585	0	0	0	0	0
AT3G07590	480	501	558	442	391
AT3G07600	203	201	204	157	138
AT3G07605	50	28	45	33	31
AT3G07610	1139	1236	1266	1004	1195
AT3G07615	178	141	118	156	107
AT3G07620	1	3	2	2	5
AT3G07625	245	268	315	262	321
AT3G07630	1217	1229	1411	1262	1238
AT3G07635	10	16	16	13	18
AT3G07640	620	608	626	610	626
AT3G07645	0	0	0	3	1
AT3G07650	1537	1628	1695	1068	1506
AT3G07655	0	0	0	1	0
AT3G07660	2911	3245	3490	2441	3064
AT3G07665	0	0	0	1	0
AT3G07670	1039	1148	1231	1114	1362
AT3G07675	73	66	66	98	89
AT3G07680	3078	2760	2969	3062	2660
AT3G07685	0	0	0	1	0
AT3G07690	714	731	838	696	671
AT3G07695	0	0	0	0	0
AT3G07700	1626	1846	1985	1718	1729
AT3G07705	216	152	148	155	108
AT3G07710	0	0	0	0	0
AT3G07715	203	158	238	209	201
AT3G07720	1510	1223	1348	1132	749
AT3G07725	194	202	250	238	222
AT3G07730	309	284	263	256	275
AT3G07735	175	202	239	186	171
AT3G07740	603	533	698	485	592
AT3G07745	13	12	25	16	26
AT3G07750	381	382	356	339	303
AT3G07755	2	2	0	0	0
AT3G07760	724	811	904	697	732
AT3G07765	3	7	9	6	5
AT3G07770	3897	4149	4478	3175	3216
AT3G07775	1	4	1	0	3
AT3G07780	1546	1438	1510	1308	1209
AT3G07785	146	136	160	133	144
AT3G07790	2324	2296	2333	2357	2439
AT3G07795	266	431	451	293	470
AT3G07800	481	463	558	550	433
AT3G07805	1020	915	1066	799	885
AT3G07810	3782	4361	4787	3634	4228
AT3G07815	5	14	8	6	12
AT3G07820	0	0	2	0	1
AT3G07825	1037	966	1113	1290	1111
AT3G07830	0	0	1	1	0
AT3G07835	534	492	628	489	466
AT3G07840	0	0	0	0	0
AT3G07845	0	0	0	0	0
AT3G07850	4	10	3	1	4
AT3G07855	0	0	0	3	0
AT3G07860	422	472	494	343	337
AT3G07865	0	0	0	0	0
AT3G07870	894	958	1046	630	947
AT3G07875	148	186	170	161	155
AT3G07880	2019	1786	1900	1684	1777
AT3G07885	251	320	330	250	316
AT3G07890	2099	1914	2031	1815	1817
AT3G07895	4	2	1	3	2
AT3G07900	389	336	419	400	333
AT3G07905	0	0	0	0	0
AT3G07910	1330	1133	1212	1257	944
AT3G07915	0	0	0	0	0
AT3G07920	5	2	2	2	2
AT3G07925	232	316	373	183	223
AT3G07930	258	288	330	265	327
AT3G07935	5	2	0	3	3
AT3G07940	668	688	685	522	646
AT3G07945	0	1	0	0	0
AT3G07950	1887	1705	1930	1959	1794
AT3G07955	0	0	0	0	0
AT3G07960	312	280	290	248	224
AT3G07965	0	0	0	0	0
AT3G07970	130	134	172	122	117
AT3G07975	1	0	0	2	0
AT3G07980	1191	1347	1417	1045	1256
AT3G07985	0	0	0	1	0
AT3G07990	522	594	661	675	701
AT3G07995	0	3	0	2	1
AT3G08000	113	106	114	90	100
AT3G08005	0	3	0	2	1
AT3G08010	794	904	1017	953	1223
AT3G08020	1085	1175	1233	957	1144
AT3G08025	0	0	0	0	0
AT3G08030	3436	3340	4037	3857	4144
AT3G08035	0	0	0	0	0
AT3G08040	429	488	532	287	295
AT3G08045	99	109	121	105	104
AT3G08050	0	0	0	0	0
AT3G08055	0	0	0	0	0
AT3G08065	93	143	164	127	164
AT3G08070	35	46	23	28	32
AT3G08075	1229	1044	1227	1332	989
AT3G08080	0	0	0	0	0
AT3G08085	43	22	36	31	25
AT3G08090	0	0	0	0	0
AT3G08100	2	4	6	3	2
AT3G08105	0	0	0	0	0
AT3G08110	0	0	0	0	0
AT3G08115	7	2	3	3	2
AT3G08120	0	0	0	0	0
AT3G08125	0	0	0	0	0
AT3G08130	0	0	0	0	0
AT3G08135	2	3	3	2	0
AT3G08140	0	0	0	0	0
AT3G08150	0	0	0	0	0
AT3G08155	0	0	0	0	0
AT3G08160	0	0	0	0	0
AT3G08165	901	931	1111	797	753
AT3G08170	953	1052	1090	793	833
AT3G08175	20	20	27	22	26
AT3G08185	11	7	7	12	13
AT3G08190	0	0	1	0	0
AT3G08200	0	1	2	0	0
AT3G08205	0	0	0	0	0
AT3G08210	23	28	45	32	44
AT3G08215	86	75	66	64	58
AT3G08220	132	161	175	176	169
AT3G08225	888	719	842	790	579
AT3G08230	252	213	235	245	196
AT3G08235	204	168	180	187	178
AT3G08240	241	214	259	285	201
AT3G08245	11	16	15	23	18
AT3G08250	0	0	0	0	0
AT3G08255	0	0	0	0	0
AT3G08260	0	0	0	0	0
AT3G08265	0	0	0	0	2
AT3G08270	0	0	0	0	2
AT3G08275	136	131	139	144	124
AT3G08280	16	32	39	40	27
AT3G08285	0	1	1	0	0
AT3G08290	7	4	5	2	10
AT3G08295	0	0	0	1	0
AT3G08300	279	260	316	289	248
AT3G08310	0	0	0	0	0
AT3G08315	0	0	0	0	0
AT3G08325	0	0	0	1	0
AT3G08330	0	2	1	0	0
AT3G08335	0	0	0	0	0
AT3G08340	0	0	0	0	0
AT3G08345	1	7	1	1	4
AT3G08350	350	315	351	402	384
AT3G08355	4	9	6	10	11
AT3G08360	0	2	0	0	2
AT3G08365	482	437	369	439	418
AT3G08370	1	0	0	1	0
AT3G08380	0	1	0	0	0
AT3G08390	0	0	0	0	0
AT3G08395	0	0	0	0	0
AT3G08400	2	3	2	3	0
AT3G08405	483	558	593	540	530
AT3G08410	0	2	6	0	0
AT3G08415	0	0	0	0	0
AT3G08420	0	1	0	1	0
AT3G08425	71	80	98	94	102
AT3G08430	0	0	0	0	0
AT3G08435	0	0	0	0	0
AT3G08450	102	135	174	80	115
AT3G08455	1	4	3	4	6
AT3G08460	1	1	1	1	1
AT3G08465	1	1	1	1	1
AT3G08470	237	201	186	196	170
AT3G08475	186	185	235	191	197
AT3G08480	1	0	0	2	0
AT3G08485	90	110	119	82	96
AT3G08490	37	26	29	34	43
AT3G08495	0	0	0	0	0
AT3G08500	18	24	40	33	18
AT3G08505	248	266	282	246	205
AT3G08510	5919	5230	5560	5693	5801
AT3G08515	361	363	424	356	372
AT3G08520	3262	2889	3504	3838	3038
AT3G08525	21	27	32	24	22
AT3G08530	24608	29466	32064	24364	30447
AT3G08535	0	0	0	0	0
AT3G08545	0	0	0	0	0
AT3G08550	1015	1237	1292	1004	1158
AT3G08560	0	4	3	1	1
AT3G08570	118	122	96	115	124
AT3G08575	0	0	0	0	0
AT3G08580	62882	62328	66508	61338	54699
AT3G08585	0	0	0	0	2
AT3G08590	8431	8553	9398	7952	6991
AT3G08595	100	103	137	86	126
AT3G08600	257	305	346	238	332
AT3G08605	64	66	63	41	54
AT3G08610	7463	6449	7176	7363	6235
AT3G08615	0	0	0	0	6
AT3G08620	280	332	326	249	273
AT3G08630	644	663	733	650	652
AT3G08635	309	325	371	394	529
AT3G08636	0	6	8	7	3
AT3G08640	1570	2018	2135	1581	1796
AT3G08645	1029	985	1064	998	903
AT3G08650	2622	2760	3009	2731	2707
AT3G08655	56	67	64	55	84
AT3G08660	112	111	153	215	217
AT3G08665	992	939	1070	1111	964
AT3G08670	492	810	869	558	917
AT3G08675	43	35	46	30	43
AT3G08680	260	608	648	276	683
AT3G08685	268	228	331	355	319
AT3G08690	675	754	748	650	584
AT3G08695	152	145	169	150	158
AT3G08700	3	5	5	9	6
AT3G08705	190	205	198	156	195
AT3G08710	777	681	814	717	609
AT3G08715	0	0	0	0	0
AT3G08720	1021	972	1095	857	813
AT3G08725	0	0	0	0	0
AT3G08730	2856	2931	2985	2292	2288
AT3G08735	2	0	3	6	2
AT3G08740	3232	3504	3899	4104	4167
AT3G08745	1	0	1	1	0
AT3G08750	1	0	3	0	0
AT3G08755	1	0	0	0	0
AT3G08760	1040	1109	1137	841	1015
AT3G08765	0	0	1	2	0
AT3G08770	1071	928	1083	1122	754
AT3G08775	0	3	1	2	1
AT3G08780	841	791	882	750	693
AT3G08785	5593	5727	6370	7561	7032
AT3G08790	11	10	1	3	0
AT3G08795	4876	5141	5805	7680	8198
AT3G08800	317	372	428	328	357
AT3G08805	762	627	770	729	558
AT3G08810	17	16	10	4	7
AT3G08815	1	4	4	5	9
AT3G08820	71	94	73	62	81
AT3G08825	3	3	3	7	11
AT3G08835	43	47	59	34	50
AT3G08840	1075	1136	1268	1135	1230
AT3G08845	0	0	0	0	0
AT3G08850	3465	4664	5165	3227	4631
AT3G08855	0	0	0	1	0
AT3G08860	960	1101	1149	793	1159
AT3G08870	358	335	417	255	299
AT3G08875	0	0	0	0	0
AT3G08880	186	224	255	239	286
AT3G08890	380	310	365	462	407
AT3G08895	514	479	502	537	496
AT3G08900	29	39	57	45	53
AT3G08905	2	1	0	0	0
AT3G08910	388	413	426	408	415
AT3G08915	4	8	5	4	5
AT3G08920	987	816	973	1195	1109
AT3G08925	0	0	0	0	0
AT3G08930	2598	2748	3030	2422	2871
AT3G08935	0	0	0	0	0
AT3G08940	18345	18327	21148	35887	37413
AT3G08943	2279	2737	2979	2162	2612
AT3G08945	136	186	263	177	216
AT3G08947	504	772	829	542	707
AT3G08950	580	539	624	579	509
AT3G08960	2175	2633	2772	2151	2464
AT3G08965	0	0	0	0	1
AT3G08970	97	158	162	104	106
AT3G08975	168	190	205	179	162
AT3G08980	242	230	250	186	214
AT3G08985	17	17	18	11	17
AT3G08990	170	166	179	152	180
AT3G09000	826	840	979	806	938
AT3G09005	28	27	47	42	37
AT3G09010	490	523	562	437	337
AT3G09015	0	0	0	0	0
AT3G09020	750	723	744	567	479
AT3G09025	1	0	0	0	0
AT3G09030	607	614	666	483	636
AT3G09032	57	47	71	63	57
AT3G09035	417	426	418	481	469
AT3G09040	167	186	165	174	164
AT3G09045	0	0	1	0	0
AT3G09050	603	655	671	687	681
AT3G09055	338	363	391	409	355
AT3G09060	244	299	301	303	309
AT3G09065	1	0	1	1	0
AT3G09070	234	336	356	242	367
AT3G09075	2	0	0	2	2
AT3G09080	36	46	52	57	47
AT3G09085	174	141	178	206	181
AT3G09090	3446	3697	3940	3127	3275
AT3G09095	2	1	2	2	1
AT3G09100	2581	2601	2800	2218	2390
AT3G09105	161	196	195	164	188
AT3G09110	4	4	3	2	1
AT3G09115	0	0	0	0	0
AT3G09120	0	1	2	0	0
AT3G09125	0	0	0	0	0
AT3G09130	0	0	0	0	0
AT3G09135	32	30	19	26	23
AT3G09140	0	1	0	0	1
AT3G09145	196	243	226	177	187
AT3G09150	613	551	607	631	593
AT3G09155	11	17	29	13	16
AT3G09160	32	30	32	21	35
AT3G09162	61	53	58	47	55
AT3G09175	266	291	252	249	314
AT3G09180	616	608	758	702	673
AT3G09185	4	1	4	4	3
AT3G09190	184	168	178	163	198
AT3G09195	2	0	0	2	1
AT3G09200	30832	31413	34914	28423	27600
AT3G09205	0	0	3	0	0
AT3G09210	1821	1830	1842	2204	2246
AT3G09220	1554	1775	1865	1216	1494
AT3G09225	168	141	179	117	136
AT3G09230	200	189	210	169	150
AT3G09240	251	210	228	166	192
AT3G09245	1	1	0	1	1
AT3G09250	10247	9616	10203	10144	8722
AT3G09255	1	1	1	0	0
AT3G09260	164110	137911	150259	146136	116041
AT3G09265	0	0	0	0	0
AT3G09270	2230	1581	1621	1367	932
AT3G09275	2999	2947	3205	2581	2938
AT3G09280	21	19	13	18	15
AT3G09285	0	0	0	3	9
AT3G09290	96	92	118	74	78
AT3G09295	242	211	267	208	196
AT3G09300	2451	2576	2611	2450	2613
AT3G09305	2090	1886	2181	1997	1824
AT3G09310	473	526	520	521	543
AT3G09315	0	0	0	0	0
AT3G09320	539	598	593	500	601
AT3G09325	24	17	14	12	17
AT3G09330	47	61	39	55	50
AT3G09335	43	47	23	24	29
AT3G09340	18	18	15	18	10
AT3G09345	31	38	16	15	17
AT3G09350	739	741	793	736	596
AT3G09355	0	0	0	1	0
AT3G09360	433	541	555	404	543
AT3G09365	0	0	0	1	0
AT3G09370	379	419	474	377	445
AT3G09380	0	0	0	0	0
AT3G09390	14824	14075	16080	11828	11884
AT3G09395	2	4	5	1	7
AT3G09400	29	21	33	45	22
AT3G09405	278	346	376	208	210
AT3G09410	1181	1343	1404	1132	1343
AT3G09415	78	55	105	120	101
AT3G09425	0	0	0	0	0
AT3G09430	59	45	42	57	55
AT3G09435	0	0	0	0	0
AT3G09440	19843	18834	20431	15638	13562
AT3G09445	1	2	3	2	1
AT3G09450	263	220	269	190	152
AT3G09455	289	216	307	309	278
AT3G09465	8	5	2	1	4
AT3G09470	1626	1578	1639	1424	1590
AT3G09475	0	3	2	1	2
AT3G09480	100	75	93	100	83
AT3G09485	0	0	0	1	0
AT3G09490	481	335	360	354	261
AT3G09495	230	216	278	198	227
AT3G09500	8808	7955	8845	9072	7706
AT3G09505	1	0	0	1	0
AT3G09510	0	0	0	0	0
AT3G09515	2	4	11	6	9
AT3G09520	131	167	126	93	73
AT3G09525	20	17	14	10	1
AT3G09530	0	1	0	0	0
AT3G09540	402	376	451	411	401
AT3G09545	23	38	26	10	5
AT3G09550	123	110	144	150	162
AT3G09555	8	16	11	5	7
AT3G09560	1450	1461	1710	1292	1633
AT3G09565	1	2	0	0	3
AT3G09570	1528	1477	1649	1588	1459
AT3G09575	4	5	9	4	19
AT3G09580	318	394	401	330	455
AT3G09585	0	0	0	0	0
AT3G09590	0	2	3	6	7
AT3G09595	10	8	23	4	10
AT3G09600	1380	1512	1737	1137	1164
AT3G09605	0	0	0	0	0
AT3G09615	66	54	65	48	48
AT3G09620	11	4	9	10	14
AT3G09625	14	18	20	23	18
AT3G09630	18615	17487	19635	17535	15709
AT3G09635	38	67	83	63	69
AT3G09640	0	0	2	1	2
AT3G09645	11	15	22	23	13
AT3G09650	745	709	760	593	637
AT3G09655	307	285	341	208	281
AT3G09660	215	232	248	190	282
AT3G09665	0	0	1	1	1
AT3G09670	740	795	824	710	739
AT3G09675	0	0	2	0	1
AT3G09680	48	28	48	18	15
AT3G09685	137	138	150	123	150
AT3G09690	1124	1091	1259	1038	1163
AT3G09695	0	0	2	0	0
AT3G09700	305	291	311	282	279
AT3G09705	0	0	0	0	0
AT3G09710	509	488	535	471	509
AT3G09720	607	597	726	609	600
AT3G09725	134	142	143	107	160
AT3G09730	139	164	143	166	183
AT3G09735	1488	1372	1411	1366	1144
AT3G09740	3759	3230	3689	3496	3226
AT3G09745	324	385	424	318	370
AT3G09750	27	17	21	24	23
AT3G09755	1	1	2	0	0
AT3G09760	598	594	672	575	621
AT3G09765	0	0	0	0	0
AT3G09770	731	911	965	581	870
AT3G09775	31	31	21	27	29
AT3G09780	198	213	233	192	234
AT3G09785	4	2	2	2	1
AT3G09790	16	19	24	23	17
AT3G09795	1546	1582	1593	1554	1355
AT3G09800	414	397	448	478	493
AT3G09810	2094	1910	2090	1884	1552
AT3G09815	22	21	21	10	13
AT3G09820	5575	7983	8782	5892	7622
AT3G09825	0	0	0	0	0
AT3G09830	894	939	942	780	796
AT3G09835	0	0	0	0	0
AT3G09840	25906	24413	26789	23837	23052
AT3G09845	0	0	0	0	0
AT3G09850	1704	1872	1926	1452	1782
AT3G09855	79	74	94	72	78
AT3G09860	2993	2539	2716	2815	2121
AT3G09863	29	29	37	20	25
AT3G09865	53	58	65	58	60
AT3G09870	13	28	27	17	19
AT3G09875	3020	2810	3265	3247	2777
AT3G09880	1286	1244	1333	1145	1128
AT3G09890	527	503	523	518	481
AT3G09895	310	369	356	348	379
AT3G09900	1021	1024	1147	1035	1100
AT3G09905	1476	1277	1466	1757	1521
AT3G09910	132	134	177	115	111
AT3G09920	949	922	979	820	955
AT3G09922	455	304	336	1016	945
AT3G09925	2025	1178	1254	1453	886
AT3G09930	5	8	5	7	1
AT3G09935	0	0	1	0	0
AT3G09940	2104	1985	2260	1650	1533
AT3G09945	1	0	0	0	1
AT3G09950	18	12	15	17	13
AT3G09955	286	387	401	261	313
AT3G09960	147	123	108	107	88
AT3G09965	111	131	142	130	159
AT3G09970	1139	1068	1256	1024	1077
AT3G09980	1475	1266	1355	1273	1194
AT3G09985	1852	2069	2120	2376	2653
AT3G09990	0	0	0	0	0
AT3G09995	331	411	497	273	453
AT3G10000	15	26	24	26	16
AT3G10010	1425	1477	1641	1210	1434
AT3G10015	1	0	0	0	0
AT3G10020	179	222	236	166	188
AT3G10030	947	994	1114	901	1019
AT3G10035	0	1	0	0	2
AT3G10040	334	491	508	268	533
AT3G10050	2528	2485	2596	2280	2201
AT3G10060	1277	1269	1468	1542	1530
AT3G10070	185	258	332	251	406
AT3G10080	593	506	494	567	495
AT3G10090	598	592	687	735	475
AT3G10110	306	335	320	255	235
AT3G10113	81	61	67	59	63
AT3G10116	1	1	3	0	0
AT3G10120	266	234	272	322	284
AT3G10130	783	754	853	815	865
AT3G10140	518	538	521	561	565
AT3G10150	34	41	36	29	40
AT3G10160	1640	1705	1858	1475	1681
AT3G10180	302	380	394	324	321
AT3G10185	11	25	24	10	8
AT3G10190	362	345	372	318	339
AT3G10195	0	2	0	0	0
AT3G10200	346	382	386	320	371
AT3G10210	423	400	451	378	380
AT3G10220	837	824	919	874	955
AT3G10230	2201	2256	2515	2345	2446
AT3G10240	3	2	3	8	5
AT3G10250	800	804	934	747	765
AT3G10260	1470	1313	1551	1582	1455
AT3G10270	1550	1649	1771	1595	1537
AT3G10280	34	33	30	32	36
AT3G10290	7	21	15	13	9
AT3G10300	1437	1251	1352	1213	1120
AT3G10310	559	546	605	631	558
AT3G10320	285	300	320	229	129
AT3G10330	845	811	907	914	865
AT3G10340	564	514	524	597	484
AT3G10350	1453	1532	1715	1612	1699
AT3G10360	2278	2360	2588	2391	2563
AT3G10370	1188	1197	1338	1147	1261
AT3G10380	5712	6577	7150	5521	6277
AT3G10390	535	646	636	527	631
AT3G10400	173	113	148	128	148
AT3G10405	910	870	1063	1040	1269
AT3G10410	4496	4356	4925	4023	4178
AT3G10415	0	0	0	0	0
AT3G10420	1685	1862	2197	2437	3072
AT3G10430	0	1	2	3	0
AT3G10439	0	0	0	0	1
AT3G10440	377	372	400	342	356
AT3G10450	492	542	510	359	335
AT3G10455	0	0	0	1	1
AT3G10460	0	0	0	1	0
AT3G10470	40	45	42	29	48
AT3G10480	1038	1050	1100	890	874
AT3G10490	1187	1284	1339	1133	1076
AT3G10500	1385	1472	1563	1088	966
AT3G10510	3	9	8	2	4
AT3G10520	2249	2114	2256	2203	2102
AT3G10525	1319	1144	1231	987	906
AT3G10527	1178	1001	1113	907	819
AT3G10530	1102	1267	1283	970	1029
AT3G10540	829	892	1026	840	956
AT3G10550	830	955	994	807	1044
AT3G10560	7	3	4	5	1
AT3G10570	343	202	223	340	254
AT3G10572	386	408	429	381	472
AT3G10580	1	0	2	0	0
AT3G10585	0	0	0	0	0
AT3G10590	17	2	2	15	4
AT3G10595	0	0	0	0	0
AT3G10600	0	11	8	8	6
AT3G10605	8	8	11	7	5
AT3G10610	1931	1763	2067	1832	1601
AT3G10620	600	649	793	744	650
AT3G10630	757	770	895	827	766
AT3G10640	1310	1206	1339	1251	1013
AT3G10650	2167	3315	3488	1960	3271
AT3G10660	932	896	908	835	866
AT3G10670	1886	1861	2065	2332	2135
AT3G10680	95	53	61	97	47
AT3G10690	2035	2377	2663	2103	2249
AT3G10700	751	745	789	696	700
AT3G10710	1778	1440	1516	1203	1166
AT3G10720	2566	2141	2476	3156	2273
AT3G10730	748	704	707	775	604
AT3G10740	1965	1734	1939	2033	1994
AT3G10745	97	112	91	104	99
AT3G10750	11	8	10	8	8
AT3G10760	554	758	912	562	776
AT3G10770	2426	2367	2580	2069	2168
AT3G10780	0	7	6	6	7
AT3G10790	1	1	7	1	0
AT3G10800	1467	1595	1666	1370	1445
AT3G10810	632	806	920	691	840
AT3G10815	78	87	96	72	49
AT3G10820	361	377	384	326	363
AT3G10840	697	652	761	586	683
AT3G10845	18	11	7	14	19
AT3G10850	3622	3524	3899	3472	3470
AT3G10860	2889	3035	3469	3299	2850
AT3G10870	369	302	310	412	350
AT3G10880	74	73	73	83	79
AT3G10890	4	6	4	11	4
AT3G10900	0	0	0	0	0
AT3G10910	496	427	492	408	364
AT3G10915	857	851	1045	889	878
AT3G10920	8428	7222	7752	8008	6294
AT3G10930	125	135	184	114	66
AT3G10940	672	728	784	878	755
AT3G10950	0	0	0	0	3
AT3G10960	424	421	401	385	350
AT3G10970	1894	1959	2187	2178	2340
AT3G10974	0	0	0	0	0
AT3G10980	1550	1529	1708	1484	1558
AT3G10985	2991	2543	2582	2027	1925
AT3G10986	138	74	96	74	52
AT3G10990	0	0	0	0	0
AT3G11000	67	115	111	64	71
AT3G11010	669	1120	1219	517	793
AT3G11020	125	131	137	109	129
AT3G11030	626	642	653	558	617
AT3G11040	167	258	247	156	232
AT3G11050	53	39	62	57	60
AT3G11060	0	0	0	0	0
AT3G11070	1439	1444	1660	1336	1375
AT3G11080	147	278	251	88	203
AT3G11090	364	346	384	286	262
AT3G11100	442	493	494	391	423
AT3G11110	121	160	158	88	98
AT3G11120	2036	1685	1781	1998	1335
AT3G11130	25946	30665	34017	26193	30717
AT3G11150	66	41	48	46	36
AT3G11160	1	1	0	3	2
AT3G11165	0	5	2	4	0
AT3G11170	5170	5570	5992	4620	5260
AT3G11180	14	31	12	31	15
AT3G11200	2282	2215	2408	2083	2095
AT3G11210	920	1038	1040	871	842
AT3G11220	305	375	432	291	428
AT3G11230	635	599	628	606	595
AT3G11240	508	547	620	426	552
AT3G11250	1730	1707	1916	1838	1496
AT3G11260	27	18	16	16	16
AT3G11270	850	800	1048	800	705
AT3G11280	2085	1947	2305	1855	1682
AT3G11285	0	0	0	0	0
AT3G11290	739	669	700	641	695
AT3G11300	0	0	0	0	0
AT3G11310	0	2	0	0	0
AT3G11320	1232	1241	1428	1154	1110
AT3G11325	7	2	1	8	7
AT3G11330	1560	1599	1714	1434	1448
AT3G11340	1554	1561	1754	1404	1068
AT3G11350	1	5	1	2	2
AT3G11370	110	122	129	84	113
AT3G11380	2	4	0	0	0
AT3G11385	17	17	12	11	17
AT3G11390	35	41	37	19	33
AT3G11395	5	4	2	1	3
AT3G11397	892	821	921	868	782
AT3G11400	5549	5089	5614	5030	4593
AT3G11402	100	202	250	99	118
AT3G11405	0	0	0	0	2
AT3G11410	1147	1240	1340	1160	1141
AT3G11415	4	13	2	4	2
AT3G11420	766	877	925	728	796
AT3G11430	152	161	157	151	127
AT3G11435	1	0	1	0	0
AT3G11440	295	325	379	262	301
AT3G11450	3143	3510	3530	2816	3145
AT3G11460	120	129	144	107	104
AT3G11470	260	240	250	260	307
AT3G11480	6	5	5	1	4
AT3G11490	739	781	813	721	753
AT3G11500	767	707	717	727	674
AT3G11505	0	0	0	0	0
AT3G11510	7912	8551	9312	9045	8020
AT3G11520	261	230	287	275	273
AT3G11530	522	421	546	474	480
AT3G11540	2487	2517	2818	2186	2358
AT3G11550	518	472	473	509	420
AT3G11560	4541	5001	5427	4546	5397
AT3G11570	742	852	995	829	1002
AT3G11580	272	243	289	213	166
AT3G11590	1829	1737	1937	1779	1754
AT3G11591	174	205	216	223	211
AT3G11600	450	421	469	401	449
AT3G11620	2021	1892	2140	2840	2365
AT3G11630	10435	10395	11376	13961	13688
AT3G11640	12	18	14	15	11
AT3G11650	434	332	448	406	339
AT3G11660	512	678	839	428	646
AT3G11670	3002	3009	3259	2883	3369
AT3G11680	0	2	4	4	2
AT3G11690	760	686	818	749	624
AT3G11700	4733	4227	4498	4400	3912
AT3G11710	3336	4711	5291	3387	4470
AT3G11720	674	745	820	795	846
AT3G11730	1645	1283	1322	1362	1132
AT3G11740	2	0	2	1	0
AT3G11745	89	81	70	69	71
AT3G11750	94	89	120	119	94
AT3G11760	714	809	883	751	847
AT3G11770	515	446	497	450	414
AT3G11773	17	14	11	19	11
AT3G11780	2067	1686	1988	2051	1697
AT3G11800	1794	1664	1595	1728	1454
AT3G11810	722	643	722	688	663
AT3G11820	1730	1863	1962	1656	1602
AT3G11825	0	0	0	0	0
AT3G11830	6215	6519	7143	6273	5954
AT3G11840	553	588	600	409	434
AT3G11850	644	691	732	548	604
AT3G11860	2	0	2	7	5
AT3G11870	2	0	0	0	0
AT3G11880	1154	1144	1324	1108	1117
AT3G11890	557	552	601	526	548
AT3G11900	1063	981	1072	888	893
AT3G11910	6473	7300	7787	5789	6828
AT3G11920	4	3	8	0	3
AT3G11930	3320	3184	3388	3281	3127
AT3G11940	11836	11575	13743	13156	12394
AT3G11945	1380	1226	1482	1542	1520
AT3G11950	533	490	539	479	524
AT3G11960	2146	2611	2773	1975	2588
AT3G11964	5256	5840	6370	4383	4895
AT3G11980	3	7	4	2	2
AT3G11990	0	0	0	0	0
AT3G12000	0	0	0	1	0
AT3G12010	2368	2437	2669	2245	2211
AT3G12020	3244	3253	3350	3076	3173
AT3G12030	837	734	813	738	672
AT3G12040	228	194	190	180	169
AT3G12050	753	726	785	758	695
AT3G12060	49	66	56	35	48
AT3G12070	119	148	158	95	126
AT3G12080	2016	2171	2257	2003	2273
AT3G12090	386	380	414	308	289
AT3G12100	620	673	767	583	662
AT3G12110	686	710	774	958	841
AT3G12120	20429	19128	20876	18226	21131
AT3G12130	1054	1008	1052	894	889
AT3G12140	1346	1373	1524	1199	1310
AT3G12145	265	389	420	265	395
AT3G12150	546	539	631	604	755
AT3G12160	0	1	0	4	2
AT3G12170	147	158	165	137	183
AT3G12180	387	322	336	377	306
AT3G12190	7	1	5	2	4
AT3G12200	1338	1364	1490	1202	1251
AT3G12203	2	6	9	7	4
AT3G12210	420	447	434	408	394
AT3G12220	199	243	234	147	157
AT3G12230	61	54	86	39	18
AT3G12240	96	87	89	99	88
AT3G12250	518	593	608	543	564
AT3G12260	3174	2702	2931	3628	2646
AT3G12270	664	720	786	621	583
AT3G12280	2515	2949	3085	2530	2732
AT3G12290	4207	3830	4305	4056	3677
AT3G12300	584	594	683	727	667
AT3G12320	965	930	1036	1334	1051
AT3G12340	488	481	515	389	384
AT3G12345	2104	1898	2043	2845	2290
AT3G12350	922	821	1010	933	970
AT3G12360	1690	1698	1785	1496	1621
AT3G12370	807	786	894	866	745
AT3G12380	655	682	748	525	652
AT3G12385	0	0	0	0	0
AT3G12390	4423	4115	4178	4147	3627
AT3G12400	1119	1128	1175	1083	1056
AT3G12410	10	16	7	12	11
AT3G12420	0	0	0	0	0
AT3G12430	0	0	0	0	0
AT3G12440	0	0	1	0	0
AT3G12460	25	28	26	35	25
AT3G12470	0	0	0	1	4
AT3G12480	1186	1253	1261	1093	1183
AT3G12490	3884	3393	3930	3652	3301
AT3G12500	10375	9078	10427	6469	6373
AT3G12502	5416	4562	5437	3438	3250
AT3G12510	136	133	119	117	111
AT3G12520	653	881	925	730	1002
AT3G12530	181	206	251	225	208
AT3G12540	523	372	436	314	415
AT3G12545	40	33	33	53	49
AT3G12550	367	388	413	407	397
AT3G12560	1530	1676	1793	1464	1642
AT3G12570	1840	1804	2024	1711	1811
AT3G12580	2206	2167	2305	1678	912
AT3G12585	15	8	14	16	21
AT3G12587	306	288	334	374	282
AT3G12590	1567	1857	2177	1507	1995
AT3G12600	1102	1112	1203	1041	1103
AT3G12610	3303	3251	3633	4710	4217
AT3G12620	1430	1303	1623	1370	1412
AT3G12630	3229	3156	3523	3067	2981
AT3G12640	1521	1635	1773	1398	1565
AT3G12650	639	691	812	743	659
AT3G12660	0	3	1	0	3
